brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,290,69,28,18,,
MIZUNO,Tênis Masculino Mizuno Wave Endeavor 2 Corrida Performance,749,90,697,40,,
MIZUNO,Tênis Masculino Corrida Mizuno Wave Stratos 2 Esportivo,849,90,773,40,,
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,217,34,4.6,(576)
UNDER ARMOUR,Under Armour Charged Slight 2 Masculino Adultos,359,99,247,94,4.8,(305)
MIZUNO,Tênis Masculino Mizuno Wave Endeavor 2 Corrida Performance,749,90,674,91,,
ADIDAS,Tênis Esportivo Masculino adidas Response Lançamento Novo,449,99,45,,,
ADIDAS,Tênis adidas Original Corrida Treino Intenso Com Amortecedor,449,99,45,,,
ADIDAS,Tênis De Corrida adidas Maratona Performance Corre Rua,449,99,45,,,
,Tenis Mulher Homem Unissex Corrida Caminhada Leve Barato,53,70,47,62,4.5,(974)
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,159,90,4.5,(5420)
,Tênis Ortopédico Italiano De Couro Para Treino Esportivo,138,86,34,72,4.1,(29)
,Tênis Ortopédico Italiano De Couro Para Treino Esportivo,138,86,34,72,4.1,(29)
NIKE,Tênis Nike Air Max Sc Masculino,389,99,39,,4.8,(392)
FILA,Tênis Fila Recovery Masculino Academia - Fitness,379,99,38,,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,74,99,4.5,(9352)
FILA,Tênis Fila Recovery Esportivo Corrida Academia Original Pro,379,99,38,,,
FILA,Tênis Masculino Corrida Fila Recovery - Original,379,99,38,,,
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,49,98,54,4.5,(2056)
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(354)
TMC,Tênis Masculino Academia Olympiko Esportivo Barato Original,78,90,61,54,4.4,(179)
FILA,Tênis Fila Recovery Grafite Preto E Amarelo - Masculino,379,99,38,,,
FILA,Tênis Fila Masculino Recovery Esportivo Confortável Original,379,99,38,,,
FILA,Tênis Fila Recovery Masculino Academia - Fitness,379,99,38,,,
MIZUNO,Tênis Masculino Corrida Mizuno Wave Stratos 2 Esportivo,849,90,798,90,,
ADIDAS,Tênis adidas Response Masculino Corrida Caminhada Treino,399,99,38,78,,
NIKE,Tênis Nike Revolution 6 Flyease Next Nature Masculino,269,99,26,18,4.8,(407)
ADIDAS,Tênis De Corrida adidas Lançamento Corre Response Runner,399,99,38,78,,
ADIDAS,Tênis Esportivo adidas Masculino Response Runner Original,399,99,38,78,,
ADIDAS,Tênis Masculino adidas Esportivo Corrida E Caminhada Runner,399,99,38,78,,
FILA,Tênis Masculino Fila Recovery Esportivo Corrida Macio Leve,379,99,36,84,,
FILA,Tênis Fila Masculino Recovery Esportivo Confortável Original,379,99,36,84,,
FILA,Tenis Fila Masculino Recovery Corrida Caminhada Confortável,379,99,334,39,,
FILA,Tênis Fila Recovery Esportivo Corrida Academia Original Pro,379,99,36,84,,
ADIDAS,Tênis adidas Response Runner Azul E Preto - Original,449,99,45,,,
FILA,Tênis Fila Recovery Grafite Preto E Amarelo - Masculino,379,99,38,,,
MIZUNO,Mizuno Wave Zest Masculino Adultos,449,99,323,94,4.5,(46)
FILA,Fila Spitfire 3 Masculino Adultos,609,99,479,99,,
ADIDAS,Tênis De Corrida Masculino E Feminino Response Runner adidas,299,99,212,79,4.8,(340)
ADIDAS,Tênis adidas Adistar Cs 2 Modelo Novo Corrida Treino Macio,1.469,,147,,,
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,150,99,4.8,(5647)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7608)
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,199,99,151,04,4.8,(1381)
OLYMPIKUS,Olympikus Marte Masculino Adultos,159,99,15,55,4.7,(238)
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,138,69,4.8,(832)
ADIDAS,Tênis Masculino Moda Estilo Conforto Academia Treino Crosfit,399,99,351,99,,
OLYMPIKUS,Olympikus Corre 3 3 Sem gênero Adultos,499,99,50,,4.9,(248)
OLYMPIKUS,Olympikus Corre 3 Sem gênero Adultos,499,90,49,,4.8,(38)
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,90,160,93,4.7,(2760)
OLYMPIKUS,Olympikus Perfect 3 Masculino Adultos,259,99,194,99,4.8,(210)
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,159,90,4.5,(5420)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,4.5,(4586)
MIZUNO,Mizuno Space 3 Masculino Adultos,199,17,33,,4.8,(1411)
ADAPTION,Adaption Easy Masculino Adultos,49,90,4,84,4.3,(1383)
,Tenis Mulher Homem Unissex Corrida Caminhada Leve Barato,53,70,47,62,4.5,(974)
UNDER ARMOUR,Tênis Under Armour Essential 2 Original Academia Masculino,262,49,206,90,4.8,(189)
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,99,193,19,4.8,(635)
ADIDAS,Tênis adidas Adistar Cs 2 Modelo Novo Corrida Treino Macio,1.469,,147,,,
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,4.7,(227)
OLYMPIKUS,Olympikus Voa 2 Masculino Adultos,299,99,208,04,4.8,(257)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1542)
,Tenis Sport Titanium  Original - Esportivo,78,90,61,75,4.5,(3410)
REEBOK,Tenis Reebok Nano Flex Tr V2 Masculino 100033771,599,44,59,94,4.3,(3)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5366)
OLYMPIKUS,Tênis Masculino Olimp Confortável Corrida E Caminhada Macio,229,30,160,58,4.8,(1827)
UNDER ARMOUR,Tênis Under Armour Charged Slight 2 Treino Caminhada Corrida,399,99,259,99,4.7,(16)
FILA,Fila KR6 Masculino Adultos,599,40,359,84,4.7,(158)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,78,90,7,67,4.5,(541)
FILA,Fila Magnus Masculino Adultos F01AT00021,246,38,197,10,4.7,(506)
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(354)
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,67,17,,4.6,(384)
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,66,90,63,55,4.5,(1549)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,324,99,259,99,4.8,(32)
SAPATOFRAN,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,107,90,10,49,4.3,(2435)
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,89,90,76,41,4.5,(574)
OLYMPIKUS,Olympikus Voa 2 Feminino Adultos,299,99,33,33,4.9,(110)
,Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto,109,90,75,83,4.5,(3941)
OLYMPIKUS,Olympikus Cyber 3 Masculino Adultos,199,99,180,50,4.7,(33)
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,95,4.5,(1845)
OLYMPIKUS,Tênis Olimpikus Olympikus Flash Confortavel Envio Imediato ,95,99,9,33,4.3,(160)
OLYMPIKUS,Olympikus Aquarios Masculino Adultos,249,99,117,79,4.8,(907)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,75,04,4.2,(72)
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,78,90,67,06,4.3,(139)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,61,93,4.3,(2205)
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,90,71,01,4.5,(3339)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,174,90,4.4,(1498)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,97,75,02,4.4,(2848)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(2179)
BF SHOES,Tênis Branco Lançamento Original Confortável,99,88,79,90,4.6,(7098)
OLYMPIKUS,Olympikus Eros Masculino Adultos,237,49,174,98,4.8,(1206)
ASICS,Asics Gel-Rebound Masculino Adultos,399,10,359,91,4.5,(12)
